copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.5,measure-init-blank-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-humidity-pipette,1812.7,4.12E+01,measure,aspirate,1,ul,channel_1,trial,8,humidity,pipette,,,,,,,,,,,,,,,,
752.5,measure-init-blank-ul-channel_1-trial-8-samples-duration,9.797341585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-celsius-air,1812.7,22,measure,aspirate,1,ul,channel_1,trial,8,celsius,air,,,,,,,,,,,,,,,,
752.6,measure-init-blank-ul-channel_1-trial-8-samples-count,4.30E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-humidity-air,1812.8,4.62E+01,measure,aspirate,1,ul,channel_1,trial,8,humidity,air,,,,,,,,,,,,,,,,
777.9,measure-aspirate-blank-ul-channel_1-trial-8-celsius-pipette,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-pascals-air,1812.9,1.00E+03,measure,aspirate,1,ul,channel_1,trial,8,pascals,air,,,,,,,,,,,,,,,,
778,measure-aspirate-blank-ul-channel_1-trial-8-humidity-pipette,4.57E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-celsius-liquid,1812.9,2.50E+01,measure,aspirate,1,ul,channel_1,trial,8,celsius,liquid,,,,,,,,,,,,,,,,
778,measure-aspirate-blank-ul-channel_1-trial-8-celsius-air,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-grams-average,1813,16.50763112,measure,aspirate,1,ul,channel_1,trial,8,grams,average,,,,,,,,,,,,,,,,
778.1,measure-aspirate-blank-ul-channel_1-trial-8-humidity-air,4.69E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-grams-cv,1813.1,1.01E-07,measure,aspirate,1,ul,channel_1,trial,8,grams,cv,,,,,,,,,,,,,,,,
778.1,measure-aspirate-blank-ul-channel_1-trial-8-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-grams-min,1813.1,1.65E+01,measure,aspirate,1,ul,channel_1,trial,8,grams,min,,,,,,,,,,,,,,,,
778.2,measure-aspirate-blank-ul-channel_1-trial-8-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-grams-max,1813.2,1.65E+01,measure,aspirate,1,ul,channel_1,trial,8,grams,max,,,,,,,,,,,,,,,,
778.3,measure-aspirate-blank-ul-channel_1-trial-8-grams-average,16.51002452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-samples-start-time,1813.2,1.78E+09,measure,aspirate,1,ul,channel_1,trial,8,samples,start,time,,,,,,,,,,,,,,,
778.3,measure-aspirate-blank-ul-channel_1-trial-8-grams-cv,2.37E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-samples-duration,1813.3,9.796940088,measure,aspirate,1,ul,channel_1,trial,8,samples,duration,,,,,,,,,,,,,,,,
778.4,measure-aspirate-blank-ul-channel_1-trial-8-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-8-samples-count,1813.4,5.00E+01,measure,aspirate,1,ul,channel_1,trial,8,samples,count,,,,,,,,,,,,,,,,
778.4,measure-aspirate-blank-ul-channel_1-trial-8-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-celsius-pipette,1838.6,2.63E+01,measure,dispense,1,ul,channel_1,trial,8,celsius,pipette,,,,,,,,,,,,,,,,
778.5,measure-aspirate-blank-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-humidity-pipette,1838.6,4.11E+01,measure,dispense,1,ul,channel_1,trial,8,humidity,pipette,,,,,,,,,,,,,,,,
778.5,measure-aspirate-blank-ul-channel_1-trial-8-samples-duration,9.828657389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-celsius-air,1838.7,22,measure,dispense,1,ul,channel_1,trial,8,celsius,air,,,,,,,,,,,,,,,,
778.6,measure-aspirate-blank-ul-channel_1-trial-8-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-humidity-air,1838.8,4.62E+01,measure,dispense,1,ul,channel_1,trial,8,humidity,air,,,,,,,,,,,,,,,,
803.2,measure-dispense-blank-ul-channel_1-trial-8-celsius-pipette,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-pascals-air,1838.8,1.00E+03,measure,dispense,1,ul,channel_1,trial,8,pascals,air,,,,,,,,,,,,,,,,
803.2,measure-dispense-blank-ul-channel_1-trial-8-humidity-pipette,4.55E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-celsius-liquid,1838.9,2.50E+01,measure,dispense,1,ul,channel_1,trial,8,celsius,liquid,,,,,,,,,,,,,,,,
803.3,measure-dispense-blank-ul-channel_1-trial-8-celsius-air,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-grams-average,1839,16.50864364,measure,dispense,1,ul,channel_1,trial,8,grams,average,,,,,,,,,,,,,,,,
803.4,measure-dispense-blank-ul-channel_1-trial-8-humidity-air,4.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-grams-cv,1839,7.62E-08,measure,dispense,1,ul,channel_1,trial,8,grams,cv,,,,,,,,,,,,,,,,
803.4,measure-dispense-blank-ul-channel_1-trial-8-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-grams-min,1839.1,1.65E+01,measure,dispense,1,ul,channel_1,trial,8,grams,min,,,,,,,,,,,,,,,,
803.5,measure-dispense-blank-ul-channel_1-trial-8-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-grams-max,1839.2,1.65E+01,measure,dispense,1,ul,channel_1,trial,8,grams,max,,,,,,,,,,,,,,,,
803.5,measure-dispense-blank-ul-channel_1-trial-8-grams-average,16.50999627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-samples-start-time,1839.2,1.78E+09,measure,dispense,1,ul,channel_1,trial,8,samples,start,time,,,,,,,,,,,,,,,
803.6,measure-dispense-blank-ul-channel_1-trial-8-grams-cv,1.91E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-samples-duration,1839.3,9.813026905,measure,dispense,1,ul,channel_1,trial,8,samples,duration,,,,,,,,,,,,,,,,
803.7,measure-dispense-blank-ul-channel_1-trial-8-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-8-samples-count,1839.4,5.00E+01,measure,dispense,1,ul,channel_1,trial,8,samples,count,,,,,,,,,,,,,,,,
803.7,measure-dispense-blank-ul-channel_1-trial-8-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-celsius-pipette,1898.7,2.63E+01,measure,init,1,ul,channel_1,trial,9,celsius,pipette,,,,,,,,,,,,,,,,
803.8,measure-dispense-blank-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-humidity-pipette,1898.8,4.10E+01,measure,init,1,ul,channel_1,trial,9,humidity,pipette,,,,,,,,,,,,,,,,
803.8,measure-dispense-blank-ul-channel_1-trial-8-samples-duration,9.973022223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-celsius-air,1898.9,22,measure,init,1,ul,channel_1,trial,9,celsius,air,,,,,,,,,,,,,,,,
803.9,measure-dispense-blank-ul-channel_1-trial-8-samples-count,5.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-humidity-air,1898.9,4.62E+01,measure,init,1,ul,channel_1,trial,9,humidity,air,,,,,,,,,,,,,,,,
820.8,measure-init-blank-ul-channel_1-trial-9-celsius-pipette,2.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-pascals-air,1899,1.00E+03,measure,init,1,ul,channel_1,trial,9,pascals,air,,,,,,,,,,,,,,,,
820.9,measure-init-blank-ul-channel_1-trial-9-humidity-pipette,4.53E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-celsius-liquid,1899.1,2.50E+01,measure,init,1,ul,channel_1,trial,9,celsius,liquid,,,,,,,,,,,,,,,,
820.9,measure-init-blank-ul-channel_1-trial-9-celsius-air,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-grams-average,1899.1,16.50857692,measure,init,1,ul,channel_1,trial,9,grams,average,,,,,,,,,,,,,,,,
821,measure-init-blank-ul-channel_1-trial-9-humidity-air,4.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-grams-cv,1899.2,8.19E-08,measure,init,1,ul,channel_1,trial,9,grams,cv,,,,,,,,,,,,,,,,
821.1,measure-init-blank-ul-channel_1-trial-9-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-grams-min,1899.3,1.65E+01,measure,init,1,ul,channel_1,trial,9,grams,min,,,,,,,,,,,,,,,,
821.1,measure-init-blank-ul-channel_1-trial-9-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-grams-max,1899.3,1.65E+01,measure,init,1,ul,channel_1,trial,9,grams,max,,,,,,,,,,,,,,,,
821.2,measure-init-blank-ul-channel_1-trial-9-grams-average,16.50997344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-samples-start-time,1899.4,1.78E+09,measure,init,1,ul,channel_1,trial,9,samples,start,time,,,,,,,,,,,,,,,
821.2,measure-init-blank-ul-channel_1-trial-9-grams-cv,2.39E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-samples-duration,1899.5,9.812213659,measure,init,1,ul,channel_1,trial,9,samples,duration,,,,,,,,,,,,,,,,
821.3,measure-init-blank-ul-channel_1-trial-9-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-9-samples-count,1899.5,5.00E+01,measure,init,1,ul,channel_1,trial,9,samples,count,,,,,,,,,,,,,,,,
821.4,measure-init-blank-ul-channel_1-trial-9-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-celsius-pipette,1924.7,2.64E+01,measure,aspirate,1,ul,channel_1,trial,9,celsius,pipette,,,,,,,,,,,,,,,,
821.4,measure-init-blank-ul-channel_1-trial-9-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-humidity-pipette,1924.7,4.09E+01,measure,aspirate,1,ul,channel_1,trial,9,humidity,pipette,,,,,,,,,,,,,,,,
821.5,measure-init-blank-ul-channel_1-trial-9-samples-duration,9.813191652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-celsius-air,1924.8,22,measure,aspirate,1,ul,channel_1,trial,9,celsius,air,,,,,,,,,,,,,,,,
821.5,measure-init-blank-ul-channel_1-trial-9-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-humidity-air,1924.9,4.63E+01,measure,aspirate,1,ul,channel_1,trial,9,humidity,air,,,,,,,,,,,,,,,,
846.8,measure-aspirate-blank-ul-channel_1-trial-9-celsius-pipette,2.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-pascals-air,1924.9,1.00E+03,measure,aspirate,1,ul,channel_1,trial,9,pascals,air,,,,,,,,,,,,,,,,
846.9,measure-aspirate-blank-ul-channel_1-trial-9-humidity-pipette,4.53E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-celsius-liquid,1925,2.50E+01,measure,aspirate,1,ul,channel_1,trial,9,celsius,liquid,,,,,,,,,,,,,,,,
846.9,measure-aspirate-blank-ul-channel_1-trial-9-celsius-air,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-grams-average,1925.1,16.50749256,measure,aspirate,1,ul,channel_1,trial,9,grams,average,,,,,,,,,,,,,,,,
847,measure-aspirate-blank-ul-channel_1-trial-9-humidity-air,4.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-grams-cv,1925.2,6.94E-08,measure,aspirate,1,ul,channel_1,trial,9,grams,cv,,,,,,,,,,,,,,,,
847,measure-aspirate-blank-ul-channel_1-trial-9-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-grams-min,1925.2,1.65E+01,measure,aspirate,1,ul,channel_1,trial,9,grams,min,,,,,,,,,,,,,,,,
847.1,measure-aspirate-blank-ul-channel_1-trial-9-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-grams-max,1925.3,1.65E+01,measure,aspirate,1,ul,channel_1,trial,9,grams,max,,,,,,,,,,,,,,,,
847.2,measure-aspirate-blank-ul-channel_1-trial-9-grams-average,16.5099393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-samples-start-time,1925.4,1.78E+09,measure,aspirate,1,ul,channel_1,trial,9,samples,start,time,,,,,,,,,,,,,,,
847.2,measure-aspirate-blank-ul-channel_1-trial-9-grams-cv,1.45E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-samples-duration,1925.4,9.81332922,measure,aspirate,1,ul,channel_1,trial,9,samples,duration,,,,,,,,,,,,,,,,
847.3,measure-aspirate-blank-ul-channel_1-trial-9-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-1.0-ul-channel_1-trial-9-samples-count,1925.5,5.00E+01,measure,aspirate,1,ul,channel_1,trial,9,samples,count,,,,,,,,,,,,,,,,
847.3,measure-aspirate-blank-ul-channel_1-trial-9-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-celsius-pipette,1950.7,2.64E+01,measure,dispense,1,ul,channel_1,trial,9,celsius,pipette,,,,,,,,,,,,,,,,
847.4,measure-aspirate-blank-ul-channel_1-trial-9-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-humidity-pipette,1950.8,4.08E+01,measure,dispense,1,ul,channel_1,trial,9,humidity,pipette,,,,,,,,,,,,,,,,
847.5,measure-aspirate-blank-ul-channel_1-trial-9-samples-duration,9.765459299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-celsius-air,1950.9,22,measure,dispense,1,ul,channel_1,trial,9,celsius,air,,,,,,,,,,,,,,,,
847.5,measure-aspirate-blank-ul-channel_1-trial-9-samples-count,4.60E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-humidity-air,1951,4.63E+01,measure,dispense,1,ul,channel_1,trial,9,humidity,air,,,,,,,,,,,,,,,,
872.2,measure-dispense-blank-ul-channel_1-trial-9-celsius-pipette,2.51E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-pascals-air,1951,1.00E+03,measure,dispense,1,ul,channel_1,trial,9,pascals,air,,,,,,,,,,,,,,,,
872.2,measure-dispense-blank-ul-channel_1-trial-9-humidity-pipette,4.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-celsius-liquid,1951.1,2.50E+01,measure,dispense,1,ul,channel_1,trial,9,celsius,liquid,,,,,,,,,,,,,,,,
872.3,measure-dispense-blank-ul-channel_1-trial-9-celsius-air,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-grams-average,1951.2,16.50850344,measure,dispense,1,ul,channel_1,trial,9,grams,average,,,,,,,,,,,,,,,,
872.3,measure-dispense-blank-ul-channel_1-trial-9-humidity-air,4.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-grams-cv,1951.2,6.94E-08,measure,dispense,1,ul,channel_1,trial,9,grams,cv,,,,,,,,,,,,,,,,
872.4,measure-dispense-blank-ul-channel_1-trial-9-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-grams-min,1951.3,1.65E+01,measure,dispense,1,ul,channel_1,trial,9,grams,min,,,,,,,,,,,,,,,,
872.5,measure-dispense-blank-ul-channel_1-trial-9-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-grams-max,1951.4,1.65E+01,measure,dispense,1,ul,channel_1,trial,9,grams,max,,,,,,,,,,,,,,,,
872.5,measure-dispense-blank-ul-channel_1-trial-9-grams-average,16.50991056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-samples-start-time,1951.4,1.78E+09,measure,dispense,1,ul,channel_1,trial,9,samples,start,time,,,,,,,,,,,,,,,
872.6,measure-dispense-blank-ul-channel_1-trial-9-grams-cv,1.53E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-samples-duration,1951.5,9.812841654,measure,dispense,1,ul,channel_1,trial,9,samples,duration,,,,,,,,,,,,,,,,
872.6,measure-dispense-blank-ul-channel_1-trial-9-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-1.0-ul-channel_1-trial-9-samples-count,1951.6,5.00E+01,measure,dispense,1,ul,channel_1,trial,9,samples,count,,,,,,,,,,,,,,,,
872.7,measure-dispense-blank-ul-channel_1-trial-9-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-celsius-pipette,2011.2,2.64E+01,measure,init,1,ul,channel_1,trial,10,celsius,pipette,,,,,,,,,,,,,,,,
872.8,measure-dispense-blank-ul-channel_1-trial-9-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-humidity-pipette,2011.2,4.07E+01,measure,init,1,ul,channel_1,trial,10,humidity,pipette,,,,,,,,,,,,,,,,
872.8,measure-dispense-blank-ul-channel_1-trial-9-samples-duration,9.957489252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-celsius-air,2011.3,22,measure,init,1,ul,channel_1,trial,10,celsius,air,,,,,,,,,,,,,,,,
872.9,measure-dispense-blank-ul-channel_1-trial-9-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-humidity-air,2011.4,4.63E+01,measure,init,1,ul,channel_1,trial,10,humidity,air,,,,,,,,,,,,,,,,
889.8,measure-init-blank-ul-channel_1-trial-10-celsius-pipette,2.52E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-pascals-air,2011.4,1.00E+03,measure,init,1,ul,channel_1,trial,10,pascals,air,,,,,,,,,,,,,,,,
889.9,measure-init-blank-ul-channel_1-trial-10-humidity-pipette,4.49E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-1.0-ul-channel_1-trial-10-celsius-liquid,2011.5,2.50E+01,measure,init,1,ul,channel_1,trial,10,celsius,liquid,,,,,,,,,,,,,,,,
